,title,artist,showname,date
0,Greta Van Fleet,Blaketheman1000,L Train,2022-05-19
1,Babyyy,Grace Ives,L Train,2022-05-19
2,Carl's First Halloween,Earth Dad,L Train,2022-05-19
3,Lomita,Dig Nitty,L Train,2022-05-19
4,Tell Me / Why'd You,"Eliza Moon, Heading",L Train,2022-05-19
5,Chorus Girl,Raavi,L Train,2022-05-19
6,Alligator Talk,youbet,L Train,2022-05-19
7,Never Be Wrong,Closeby,L Train,2022-05-19
8,Rover,"Cleo Reed, Heading",L Train,2022-05-19
9,Whistles,Isa Reyes,L Train,2022-05-19
10,Mon Cheri,Belle-Skinner,L Train,2022-05-19
11,Outside,wakelee,L Train,2022-05-19
12,Redbull & Henny,Matt Blak,L Train,2022-05-19
13,Rot,Allegra Krieger,L Train,2022-05-19
14,Smaller,"Modern Diet, Margaux",L Train,2022-05-19
15,Hexagons and Other Fun Materials,Sidney Gish,L Train,2022-05-19
16,Quit Your Job,Hot Tea,L Train,2022-05-19
17,Creases,Work Wife,L Train,2022-05-19
18,Cities,Public Practice,L Train,2022-05-19
19,Govt Cheese,Bethlehem Steel,L Train,2022-05-19
20,That Girl,My Stupid Brother,L Train,2022-05-19
21,Don't Be Sad,Dolly Spartans,L Train,2022-05-19
22,The Feeling,Sammy Rae & The Friends,L Train,2022-05-19
23,Roller Skates,Nick Hakim,L Train,2022-05-19
24,Karate,Roofers Union,L Train,2022-05-19
25,Lay Out in the Sun,Fair Visions,L Train,2022-05-19
26,Nameless Harm - Edit,Slow Fiction,L Train,2022-05-19
27,Sound and Light,Parrot Dream,L Train,2022-05-19
28,Trustfund Overalls,Henry Black,L Train,2022-05-19
29,Berkshires,Gooseberry,L Train,2022-05-19
30,Chain,Colder,Fadrizzle,2022-05-19
31,Christmas in August,Boreen,Fadrizzle,2022-05-19
32,Giving Up,Booren,Fadrizzle,2022-05-19
33,Dog,Floating Room,Fadrizzle,2022-05-19
34,Firetruck,Floating Room,Fadrizzle,2022-05-19
35,Lena,Babehoven,Fadrizzle,2022-05-19
36,Fugazi,Babehoven,Fadrizzle,2022-05-19
37,Great at Parties,Cool American,Fadrizzle,2022-05-19
38,Hometown Hero,Andy Shauf,Fadrizzle,2022-05-19
39,The Magician,Andy Shauf,Fadrizzle,2022-05-19
40,In Love with Everyone,Mo Troper,Fadrizzle,2022-05-19
41,Boca Llena,Y la Bamba,Fadrizzle,2022-05-19
42,Sunday Soda,French Cassettes,Fadrizzle,2022-05-19
43,Not Too Amused,Sebadoh,Fadrizzle,2022-05-19
44,Flame,Sebadoh,Fadrizzle,2022-05-19
45,Behind The Garage,Eric’s Trip,Fadrizzle,2022-05-19
46,Ball,Red Red Meat,Fadrizzle,2022-05-19
47,Spoonman,Soundgarden,Fadrizzle,2022-05-19
48,Pretend We’re Dead,L7,Fadrizzle,2022-05-19
49,Fizzy,Jesus and the Mary Chain,Fadrizzle,2022-05-19
50,About A Girl,Nirvana,Fadrizzle,2022-05-19
51,Rodeo Jones,Sunny Day Real Estate,Fadrizzle,2022-05-19
52,Leave Me Alone,Chappaquiddick Sky Line,Fadrizzle,2022-05-19
53,3D Witch Hunt,Tad,Fadrizzle,2022-05-19
54,Creel,Rein Sanction,Fadrizzle,2022-05-19
55,Since The Wheel Free,Eric Mathews,Fadrizzle,2022-05-19
56,Rain Song,Sunny Day Real Estate,Fadrizzle,2022-05-19
57,In Circles,Sunny Day Real Estate,Fadrizzle,2022-05-19
58,Eva Braun,A Frames,Fadrizzle,2022-05-19
59,Everythings So Real,Eric Mathews,Fadrizzle,2022-05-19
60,Negative,A Frames,Fadrizzle,2022-05-19
61,Samba de Orpheus,Vince Guaraldi Trio,Monotonic,2022-05-18
62,Nebula,Laurie Holloway,Monotonic,2022-05-18
63,Vortex,Laurie Holloway,Monotonic,2022-05-18
64,Givin' It All,Player,Monotonic,2022-05-18
65,I Wouldn't Want To Be Like You,The Alan Parsons Project,Monotonic,2022-05-18
66,Yesterday Has Gone,Wolfgang Maus Soundpicture,Monotonic,2022-05-18
67,Amp Rental,Mac Demarco,Monotonic,2022-05-18
68,Year of the Cat,Al Stewart,Monotonic,2022-05-18
69,Mill Valley,Jim Ford,Monotonic,2022-05-18
70,"Have You Seen The Stars Tonite, Starship","Jefferson Starship, Paul Kantner",Monotonic,2022-05-18
71,Unbroken Chain,Grateful Dead,Monotonic,2022-05-18
72,Raid (ft. M.E.D.),Madvillain,Monotonic,2022-05-18
73,1 Thing,Amerie,Moe Town Records,2022-05-18
74,Sticks and Stones - Remastered 2021,Chuck Brown and the Soul Searchers,Moe Town Records,2022-05-18
75,Say What,Trouble Funk,Moe Town Records,2022-05-18
76,Scooters Jamm II,Suttle Thoughts,Moe Town Records,2022-05-18
77,Status Quo (Little Beat's Theme),Donald Banks,Moe Town Records,2022-05-18
78,Sunglasses,"Wisdom Speeks, Dana Renee",Moe Town Records,2022-05-18
79,Bounce 2 This,George Clinton & The P-Funk Allstars,Moe Town Records,2022-05-18
80,I Miss You (Dobie Rub Part One) - Sunshine Mix,"Bjork, Dobie",Moe Town Records,2022-05-18
81,Brain,N.E.R.D.,Moe Town Records,2022-05-18
82,Wasting Time,Brent Faiyaz (Feat. Drake & The Neptunes),Moe Town Records,2022-05-18
83,2much!,"Lil Burnt Ketchup, yxngchris",Moe Town Records,2022-05-18
84,Roman Candles,Death Cab For Cutie,The New Afternoon Show,2022-05-18
