Id,Description,Start at,End at,File url,Created at,Updated at,Image,Old,Name,Old url,Comment,Slug,Locked
47663,"Two hours of every genretimeplace held feebly together by a thin strand of weekly motif. SCATTERBRAIN is whiplash of the ear. THIS WEEK""S THEME: GOODSONGSANDTHESONGSTHATCAMEAFTERTHEM(SAMPLES,COVERS,ETC)",2022-04-03 23:00:00 -0400,2022-04-04 01:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/0e422abf2be7cc23e616b1e30db59089.mp3,2022-04-03 22:00:07 -0400,2022-04-18 00:54:48 -0400,"",,Scatterbrain,2022-04-03,,2022-04-03-scatterbrain,true
47662,"When you shower or bathe, do you sing? Do you jam-out? Do you dream of being a superstar? If so, Bathtime Rave is the show for you. Focusing in experimental rave music, Bathtime Rave explores the realms of neo-perreo, mosh pit rock, and hyperpop for all of your bathtime musical needs.",2022-04-03 21:00:00 -0400,2022-04-03 23:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/6ad02ecd0851999a8c4ce55ee72f5c61.mp3,2022-04-03 20:00:07 -0400,2022-04-03 23:00:09 -0400,"",,Bathtime Rave,2022-04-03,,2022-04-03-bathtime-rave,true
47661,"Hi everyone, welcome to The Slink Show! The Slink Show spotlights legendary independent label Warp Records and the bustling 90’s electronic scene in the UK. Drawing inspiration from the Detroit and Chicago club scenes of the late 80’s, the UK adapted its own brand of electronic music and pushed the boundaries of what dance music could sound like. One label was at the center of it all: Warp Records
Tune in for a deep dive into the catalogue of Warp Records, and an exploration into the world of electronic music. ",2022-04-03 19:00:00 -0400,2022-04-03 21:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/2f9c4eb570b5eb5fd9809ca621e72071.mp3,2022-04-03 18:00:08 -0400,2022-04-03 21:00:09 -0400,"",,Slink Show,2022-04-03,,2022-04-03-slink-show,true
47660,"All a Blur explores the musical and cultural movement of Britpop. Taking place in the mid-1990s and in opposition to the U.S.-led grunge movement, the sound of Britpop is lighthearted, bright, and catchy and draws influence from glam rock and indie pop. Get ready to find your next favorite song! Cheers!",2022-04-03 17:00:00 -0400,2022-04-03 19:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/3d236d184b9985b648877d2496aa3c4f.mp3,2022-04-03 16:00:08 -0400,2022-04-03 19:00:08 -0400,"",,All A Blur,2022-04-03,,2022-04-03-all-a-blur,true
47659,"Your weekly WNYU recap is finally here! Hear what you may have missed on our weekday FM shows, the latest news, and whatever else we can find in the sink. Hosted by WNYU's current General Manager, Cate Hynes",2022-04-03 16:00:00 -0400,2022-04-03 17:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/72242a134cb242298e3f4b96d3a227da.mp3,2022-04-03 15:00:06 -0400,2022-04-03 17:00:08 -0400,"",,The Kitchen Sink,2022-04-03,,2022-04-03-the-kitchen-sink,true
47658,"Shake ‘Em on Down explores the musical origins of the United States. Driven by the blending of the spiritual and secular, the current host, Katherine Libenson, focuses primarily on blues and soul releases spanning 1920-1970, with a smattering of jazz, country and folk. Tune in and be nourished by ecstatic musical expressions of love, loss, and life. ",2022-04-03 14:00:00 -0400,2022-04-03 16:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/85e22291ca8ab8d0bdb46839277e5a21.mp3,2022-04-03 13:00:06 -0400,2022-04-03 16:00:07 -0400,"",,Shake 'Em On Down,2022-04-03,,2022-04-03-shake-em-on-down,true
47655,"The show delves into the ""Rempetiko"" a traditional Greek genre that is defined by an attitude, music and lyrics involving a disregard for the law and a life in the margins of society. The metallic and powerful sounds of Rempetiko comprise the mystical world of the ""Greek urban blues.”",2022-04-03 08:00:00 -0400,2022-04-03 10:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/65a1ab16d681c838e87c81cfa4f6a4cb.mp3,2022-04-03 07:00:06 -0400,2022-04-03 21:49:12 -0400,https://wnyu-uploads.s3.amazonaws.com/uploads/episode/000/047/655/image/265e5d64d3.JPG,,Ta Rempetika,2022-04-03,,2022-04-03-ta-rempetika,true
47654,"Perestroika digs deep into a post-Soviet world of experimentation between bass, synth, and airy lo-fi beats. Sovietwave, arising from a seemingly nostalgic yearning for the Space Age, is beyond an impending sense of red doom often associated with its production. Its richness lies in the subtleties of scientific curiosity, establishing individual autonomy over the collective, and childhood reminisce of what the failed state could have been. The satellite states current fascination for the intensity of the genre is highlighted in its evolutionary beginnings, with the Russian duo PPK serving as the amniotic sac fusing with the then current scene of trance music. As the embryo began to form within the 2010’s, political tensions were at an all-time high in Kiev’s uprisings towards Ukrainian president Viktor Yanukovych. Explosions of tension filled techno began to swarm Eastern European independent artists' consciousness, alongside remnants of Latvian disco and angsty rock. Given the COVID-19 pandemic, we also began to see viral Tik Tok’s of Belarusian group Molchat Doma’s audios entering a mainstream space. While Depeche Mode takes credit for synth-pop, Eastern European traditions continue to lay the groundwork for greater questions of what the dreamscape is for each individual who creates Eastern music within a Western world. 
",2022-04-03 06:00:00 -0400,2022-04-03 08:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/9cb66574b9a9145f1a537e9d63edf5ee.mp3,2022-04-03 05:00:06 -0400,2022-04-03 08:00:06 -0400,"",,Perestroika,2022-04-03,,2022-04-03-perestroika,true
47653,"It's been a long time since the birth of surf rock in the 1960's, but it's back and cooler than ever. Kook Jamz traces the influence of psychedelic, beach-bum culture anthems all the way from the heart of Southern California, across the globe & decades, to this great station. I'll play you the newest versions of that all-too-familiar, reverb amplified, staccato-picking, 20-foot wave thrillin', beachside chillin', electric-guitar style music that makes me stoked to be alive. Tune in for a good time!",2022-04-02 23:00:00 -0400,2022-04-03 01:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/529dcb62b966a59d2c17f2a218707dbb.mp3,2022-04-02 22:00:06 -0400,2022-04-03 01:00:04 -0400,"",,Kook Jamz,2022-04-02,,2022-04-02-kook-jamz,true
47652,"Enter a new tunnel of shoegaze, exploring the evolution and impact of Japanese shoegaze and dream pop. Global Spirals pulls in a new perspective of dreaminess and spirals you into the classic shoegaze state, with vocals and bold reinventions of what shoegaze is. You don't need to know the language to feel the movement.
",2022-04-02 21:00:00 -0400,2022-04-02 23:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/372cfcb75e76c3fdc8e357c20388dfd9.mp3,2022-04-02 20:00:07 -0400,2022-04-02 23:00:04 -0400,"",,Global Spirals,2022-04-02,,2022-04-02-global-spirals,true
