Id,Description,Start at,End at,File url,Created at,Updated at,Image,Old,Name,Old url,Comment,Slug,Locked
48191,"Head underground with L Train to explore Brooklyn’s DIY and indie music scene. We’ll satisfy all of your alternative and indie-rock needs by featuring Brooklyn-based artists of today. Buckle up for the finest, the cheapest, the cleanest, and the most well-DJ’d subway ride you’ll ever take.
",2022-05-19 12:00:00 -0400,2022-05-19 14:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/47d2b651bfbccdf18bd83699d1564232.mp3,2022-05-19 11:00:06 -0400,2022-05-19 14:00:03 -0400,"",,L Train,2022-05-19,,2022-05-19-l-train,true
48190,"Fadrizzle is an exploration into all things Pacific Northwest. Seattle, Portland, the bottom tip of Canada, and parts of eastern Idaho, or the “PNW,” are home to an incredible amount of independent labels and music. Each week the show seeks to dive into a different label, genre, venue, or aspect of a local music scene.",2022-05-19 10:00:00 -0400,2022-05-19 12:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/a96a0bcbeef8aa083698f10ab81fa536.mp3,2022-05-19 09:00:06 -0400,2022-05-19 12:00:12 -0400,"",,Fadrizzle,2022-05-19,,2022-05-19-fadrizzle,true
48185,"Monotonic explores new and underground music in the hip-hop and rap genre. Playing everything from electronic-influenced beats to experimental raps. Monotonic focuses on songs that prioritize production and sonics, usually with non-melodic and monotone lyrics.",2022-05-18 22:30:00 -0400,2022-05-18 23:30:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/492b964b066393d6e761899b63ec6ada.mp3,2022-05-18 21:30:06 -0400,2022-05-18 23:30:10 -0400,https://wnyu-uploads.s3.amazonaws.com/uploads/episode/000/048/185/image/3174e19c2b.png,,Monotonic,2022-05-18,,2022-05-18-monotonic,true
48184,"Moe Town Records (inspired by the DC slang term “moe” meaning friend,) is about Washington DC’s very own genre— GoGo. Characterized by percussive Bounce Beats, funky bass, and call & response lyricism, GoGo has been deeply ingrained in DC culture since its inception in the 1970s. From tracks by the Godfather of GoGo, Chuck Brown, to popular GoGo inspired DC rapper Wale, my show explores every facet of GoGo and the culture surrounding it. 
",2022-05-18 21:30:00 -0400,2022-05-18 22:30:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/3d33bb35a3d35cca9c89bc8687232921.mp3,2022-05-18 20:30:06 -0400,2022-05-18 22:30:10 -0400,"",,Moe Town Records,2022-05-18,,2022-05-18-moe-town-records,true
48181,"#36 - But The Bitterness Remains

An eclectic mix of rock and related music. Still the only place in and around New York to hear the newest independent and imported sounds without chatter and filler. Three hours a day of pure, unadulterated, adventurous New Sounds. Each DJ adds their own perspective to give the show some nice daily variation. Plus ticket giveaways, interviews, guest DJ's and live in-studio performances by today's underground stars. |

Album of the Week: The Smile - A Light For Attracting Attention",2022-05-18 16:00:00 -0400,2022-05-18 19:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/eacbbc4e2d6fdf040701b86cdd86805f.mp3,2022-05-18 15:00:06 -0400,2022-05-18 19:00:09 -0400,"",,The New Afternoon Show,2022-05-18,,2022-05-18-the-new-afternoon-show,true
48174,"A show centered around the music of the Washington D.C. area post-hardcore scene, encompassing what would come to be known as “emocore” as well as other shades of the genre. Spawning out of the influential D.C. hardcore scene in the mid-80s, D.C. post-hardcore was broadly defined by a shift away from raw outward-facing abrasiveness in favor of a more melodic, introspective, and experimental approach.
",2022-05-18 01:00:00 -0400,2022-05-18 03:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/a3362f5a251634a03be2d287649f7b05.mp3,2022-05-18 00:00:06 -0400,2022-05-18 03:00:05 -0400,"",,Revolution Summer,2022-05-18,,2022-05-18-revolution-summer,true
48171,"Son Del Caribe is WNYU's Hispanic-Caribbean music program. You'll hear music from the Caribbean's past, present, and future. From the Son, to Guarachas, to Reggeaton. ",2022-05-17 21:00:00 -0400,2022-05-17 22:30:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/4b265bd463ffd48214e8cc282f4b453c.mp3,2022-05-17 20:00:06 -0400,2022-05-17 22:30:04 -0400,"",,Son del Caribe,2022-05-17,,2022-05-17-son-del-caribe,true
48168,"NAS GRADUATION SPECIAL 2022 |

An eclectic mix of rock and related music. Still the only place in and around New York to hear the newest independent and imported sounds without chatter and filler. Three hours a day of pure, unadulterated, adventurous New Sounds. Each DJ adds their own perspective to give the show some nice daily variation. Plus ticket giveaways, interviews, guest DJ's and live in-studio performances by today's underground stars. ",2022-05-17 16:00:00 -0400,2022-05-17 19:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/c450d5d8d71d637533f198aea1b6b8d6.mp3,2022-05-17 15:00:06 -0400,2022-05-17 19:00:13 -0400,"",,The New Afternoon Show,2022-05-17,,2022-05-17-the-new-afternoon-show,true
48166,"Content With Fractals is a deep-dive into the intricacies and breadth of Japanese ambient and environmental, ranging from its origins in the later 20th-century to its various contemporary iterations. This show examines music stylized as antithetical to traditional pop music schematics and prioritizes aspects of audition often overlooked by the pop music machine — silence, absence, and transience. ",2022-05-17 12:00:00 -0400,2022-05-17 14:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/4cfe57f7be05f65d2b2cd054d6d487e8.mp3,2022-05-17 11:00:06 -0400,2022-05-17 14:00:12 -0400,"",,Content With Fractals,2022-05-17,,2022-05-17-content-with-fractals,true
48154,"From Japan’s legendary fusion jazz scene of the 1970s to the bustling gospel and hard bop community in Detroit, Uncommon Time takes you on a journey to a new world of jazz each week, highlighting some of the best tracks and jams from unique and subversive musical communities around the globe. Expect some recently streamable deep cuts, brand new tracks, and even some staples from your favorite jazz legends every Monday at Noon.",2022-05-16 12:00:00 -0400,2022-05-16 14:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/4deb3faace2bcf9f631dcda14b530c58.mp3,2022-05-16 11:00:07 -0400,2022-05-16 14:00:07 -0400,"",,Uncommon Time ,2022-05-16,,2022-05-16-uncommon-time,true
