,title,artist
0,STUTS & 松たか子 with 3exes - Presence I feat. KID FRESINO[EDIT],FAIZ
1,Breakbeat Gangsta,Golden Boy
2,いただきバベル(Kur@ra Remix),Kur@ra
3,IM NOT OKAY,DJ victor borge
4,last ngth i dreamed of u,m1ko
5,love echo,ezekiel
6,lost8 - dark thoughts (new stxlkin flip),stxlkin
7,Sylendanna_My''World//KID TRRRASH,Sylendanna
8,U Break Me,edith underground
9,[NIGHTCORE] HEART ATTACK - AOA,EquilibriumCA_
10,Obsessed (monoga.my remix),monoga.my
11,【FreeDL】ba6el (yuzen Remix),yuzen
12,Skeleton (A. G. Cook Remix),***YOLA***FATOUSH***
13,MiRRoR Ball・Love,Shinonome Sounds Lab.
14,Torture Stream,ETIA.
15,gingus - hit the quan,steej
16,Half-Bjorc - Like a G6,BeaM )-B-(
17,Janet Jackson - No Sleeep (EASYFUN Remix),PC Music ♩
18,Blackbird Blackbird - Young (Feat. Britt Warner),BLACKBIRD BLACKBIRD
19,💔𝑨𝒍𝒍 𝑴𝒚 𝑭𝒓𝒊𝒆𝒏𝒅𝒔 𝑲𝒏𝒐𝒘 (𝑷𝒊𝒏𝒌𝑷𝒂𝒏𝒕𝒉𝒆𝒓𝒆𝒔𝒔 𝑩𝒊𝒏𝒃𝒐𝒔𝒔 𝑹𝒆𝒎𝒊𝒙)💔,𝑩𝒊𝒏𝒃𝒐𝒔𝒔
20,all i need,babeisland
21,arca - 「AALIYAH」x あいのうた (airynore btlg),airynore
22,Kali Uchis Feat Jorja Smith - Tyrant (Jeftuz UKG Remix),JEFTUZ
23,Stormzy - Wiley Flow (Mar'One X Yunggado Edit) [New Bounce #035],Sosodality
24,TEMPLIME - Take Me Out Ft.星宮とと(FAIZ BASSLINE EDIT)[FreeDL],FAIZ
25,tell me if u like it,Surati
26,L I Z Y 2 K,GLOSSY
27,ICE BB & CRAPFACE - crush ♡,ice bb
28,G3TCHA WAY,gasoiid²
29,Greta Van Fleet,Blaketheman1000
30,Babyyy,Grace Ives
31,Carl's First Halloween,Earth Dad
32,Lomita,Dig Nitty
33,Tell Me / Why'd You,"Eliza Moon, Heading"
34,Chorus Girl,Raavi
35,Alligator Talk,youbet
36,Never Be Wrong,Closeby
37,Rover,"Cleo Reed, Heading"
38,Whistles,Isa Reyes
39,Mon Cheri,Belle-Skinner
40,Outside,wakelee
41,Redbull & Henny,Matt Blak
42,Rot,Allegra Krieger
43,Smaller,"Modern Diet, Margaux"
44,Hexagons and Other Fun Materials,Sidney Gish
45,Quit Your Job,Hot Tea
46,Creases,Work Wife
47,Cities,Public Practice
48,Govt Cheese,Bethlehem Steel
49,That Girl,My Stupid Brother
50,Don't Be Sad,Dolly Spartans
51,The Feeling,Sammy Rae & The Friends
52,Roller Skates,Nick Hakim
53,Karate,Roofers Union
54,Lay Out in the Sun,Fair Visions
55,Nameless Harm - Edit,Slow Fiction
56,Sound and Light,Parrot Dream
57,Trustfund Overalls,Henry Black
58,Berkshires,Gooseberry
59,Chain,Colder
60,Christmas in August,Boreen
61,Giving Up,Booren
62,Dog,Floating Room
63,Firetruck,Floating Room
64,Lena,Babehoven
65,Fugazi,Babehoven
66,Great at Parties,Cool American
