,title,artist,albums,showname,date
0,Stars and Sons,Nation of Language,Covers of Covers,The New Afternoon Show,2022-03-15
1,Dark blue,caroline,caroline,The New Afternoon Show,2022-03-15
2,(ily Canada),Losing Lustre,(ily Canada),The New Afternoon Show,2022-03-15
3,Creature,Babehoven,Sunk,The New Afternoon Show,2022-03-15
4,Chinese Satellite - Live From Sound City,Phoebe Bridgers,Chinese Satellite - Live From Sound City,The New Afternoon Show,2022-03-15
5,Mirror Song - Acoustic Version,Clap Your Hands Say Yeah,New Fragility (Deluxe Edition),The New Afternoon Show,2022-03-15
6,Thumbing My Way - Live,Pearl Jam,DEEP: 2003,The New Afternoon Show,2022-03-15
7,In The Hard Times,Band of Horses,Things Are Great,The New Afternoon Show,2022-03-15
8,midnight sun,Nilüfer Yanya,PAINLESS,The New Afternoon Show,2022-03-15
9,Sunshine State,Dashboard Confessional,All The Truth That I Can Tell,The New Afternoon Show,2022-03-15
10,Pepsi on the House,Peach Pit,From 2 to 3,The New Afternoon Show,2022-03-15
11,If You're Not Dark,Superchunk,Wild Loneliness,The New Afternoon Show,2022-03-15
12,communication,DAYTIME TV,nothing's on but everyone's watching,The New Afternoon Show,2022-03-15
13,New York,Alex Lahey,Covers of Covers,The New Afternoon Show,2022-03-15
14,Wild Child,The Black Keys,Wild Child,The New Afternoon Show,2022-03-15
15,Sober,Bakers Eddy,Sober,The New Afternoon Show,2022-03-15
16,"The Fallen - 7"" Version",Franz Ferdinand,Hits To The Head,The New Afternoon Show,2022-03-15
17,Connection,Superchunk,Wild Loneliness,The New Afternoon Show,2022-03-15
18,the kingdom is within you,Gang of Youths,angel in realtime.,The New Afternoon Show,2022-03-15
19,My Love,Florence + The Machine,My Love,The New Afternoon Show,2022-03-15
20,Keep On With Falling,The Boo Radleys,Keep On With Falling,The New Afternoon Show,2022-03-15
21,The Dark,VHS Collection,Night Drive,The New Afternoon Show,2022-03-15
22,Mad River Man,Guided by Voices,Crystal Nuns Cathedral,The New Afternoon Show,2022-03-15
23,Everything,Hovvdy,Everything,The New Afternoon Show,2022-03-15
24,Revival Psalm,The Districts,Great American Painting,The New Afternoon Show,2022-03-15
25,Hover,The Districts,Great American Painting,The New Afternoon Show,2022-03-15
26,More,Low,HEY WHAT,The New Afternoon Show,2022-03-15
27,Close Enough To Drive Home,Stereophonics,Oochya!,The New Afternoon Show,2022-03-15
28,Mixed Up,Shout Out Louds,House,The New Afternoon Show,2022-03-15
29,Flying High,Stefano Torossi,Feelings,Slugbeat,2022-03-14
30,Aquarius,Cal Tjader,The Prophet,Slugbeat,2022-03-14
31,Liquid Sunshine,John Cameron,Kpm 1000 Series: Voices in Harmony,Slugbeat,2022-03-14
32,Marshmallow,The Sweet Enoughs,Marshmallow,Slugbeat,2022-03-14
33,"Metti una sera a cena tema- From ""Metti una sera a cena""",Ennio Morricone,Metti una sera/L'assoluto naturale,Slugbeat,2022-03-14
34,Seaside Weekend,Antena,Camino Del Sol,Slugbeat,2022-03-14
35,Invitation-Instrumental,Cal Tjader,Latin Kick,Slugbeat,2022-03-14
36,Stormy,Gabor Szabo,1969,Slugbeat,2022-03-14
37,Luna d'agosto-Con clavicembalo,Piero Umiliani,5 Bambole per la luna d'agosto,Slugbeat,2022-03-14
38,Half-Forgotten Daydreams,John Cameron,Kpm 1000 Series: Voices in Harmony,Slugbeat,2022-03-14
39,Calibre,Lo Borges,Lo Borges,Slugbeat,2022-03-14
40,Key to Love (Is Understanding),"BADBADNOTGOOD, Jonah Yano",Key to Love (Is Understanding),Slugbeat,2022-03-14
41,I Don't Know How To Love Him,Roy Ayers Ubiquity,He's Coming,Slugbeat,2022-03-14
42,"Theme From ""Valley Of The Dolls""",Dorothy Ashby,Afro-Harping,Slugbeat,2022-03-14
43,Na boca do sol,Arthur Verocai,Arthur Verocai,Slugbeat,2022-03-14
44,On Love,David T. Walker,On Love,Slugbeat,2022-03-14
45,Bossa,Ahmed Malek,Habibi Funk: An Eclectic Selection of Music from the Arab World (Habibi Funk 007),Slugbeat,2022-03-14
46,Endless Love,Piero Piccioni,Colpo Rovente-Red Hot Shot (Original Motion Picture Soundtrack),Slugbeat,2022-03-14
47,Fogo do Sol,Marcos Valle,Marcos Valle,Slugbeat,2022-03-14
48,Camino Del Sol,Antena,Camino Del Sol,Slugbeat,2022-03-14
49,Gentle Man,The Defaulters,Late Night Tales: Floating Points,Slugbeat,2022-03-14
50,Pigtails and Kneesocks,The Greenhornes,Dual Mono,Best of the Midwest,2022-03-12
51,Pattern Skies,The Greenhornes,East Grand Blues,Best of the Midwest,2022-03-12
52,Blood River,KING MUD,Victory Motel Sessions,Best of the Midwest,2022-03-12
53,I Can Only Give You Everything,KING MUD,Victory Motel Sessions,Best of the Midwest,2022-03-12
54,Set Me Free,Ko & The Knockouts,Ko and The Knockouts,Best of the Midwest,2022-03-12
55,Ecstasy,Raspberries,Side 3,Best of the Midwest,2022-03-12
56,Captive,The Blueflowers,At he Edge of Disaster,Best of the Midwest,2022-03-12
57,Whirling Dervish,Lost Kids,Belle Isle Is On Fire,Best of the Midwest,2022-03-12
58,Do the Rump,The Black Keys,The Big Come Up,Best of the Midwest,2022-03-12
59,Wild Child,The Black Keys,Wild Child,Best of the Midwest,2022-03-12
60,Candy Cane Children,The White Stripes,Merry Christmas From...,Best of the Midwest,2022-03-12
61,Taking Me Back,Jack White,Taking Me Back,Best of the Midwest,2022-03-12
62,He's Doin' It,The Gories,Outta Here,Best of the Midwest,2022-03-12
63,Six Cold Feet,The Gories,"I Know You Fine, But How You Doin'",Best of the Midwest,2022-03-12
64,Goodbye Society,The Permanents,Goodbye Society,Best of the Midwest,2022-03-12
65,Who Will Save Us,The Permanents,Sinister Motives,Best of the Midwest,2022-03-12
66,Turn Around Honey,Dexter Romweber,Blues That Defy My Soul,Best of the Midwest,2022-03-12
67,Been Here All Night,Poison Boys,Out of My Head,Best of the Midwest,2022-03-12
68,Take a Chance On Me,Poison Boys,Don't You Turn On Me,Best of the Midwest,2022-03-12
69,"Hey, Hey.",The Elms,The Big Surprise,Best of the Midwest,2022-03-12
70,Ashes or Bones,Harley Poe,7 Inches of Hell,Best of the Midwest,2022-03-12
71,Who Got The Meaning?,The Elms,The Big Surprise,Best of the Midwest,2022-03-12
72,You're Wrong,Reigndance,Problem Factory,Best of the Midwest,2022-03-12
73,Toothsome,Sons of Kong,No Shy Violet,Best of the Midwest,2022-03-12
74,Somebody Talked,Sons of Kong,No Shy Violet,Best of the Midwest,2022-03-12
75,That's All Right By Me,Steven R. Trent,Flat Broke One Man Band,Best of the Midwest,2022-03-12
76,Folk Singer,Brendan Benson,Lapalco,Best of the Midwest,2022-03-12
77,Hard Time Blues,The Laughing Hyenas,Hard Times,Best of the Midwest,2022-03-12
78,Ramblin' Man,2 Star Tabernacle featuring Andre Williams,Ramblin' Man,Best of the Midwest,2022-03-12
79,I'll Go,The Gories,"I Know You Fine, But How You Doin'",Best of the Midwest,2022-03-12
80,Coffee's on me,Sunset Rollercoaster,Coffee's on me,Oriental New Waves,2022-03-12
81,Room355,LINION,Me in Dat Blue,Oriental New Waves,2022-03-12
82,Disco,Mitsume,eye,Oriental New Waves,2022-03-12
83,SISSOU,Yogee New Waves,WINDORGAN,Oriental New Waves,2022-03-12
84,Best of Me,The Fur.,Best Comedy,Oriental New Waves,2022-03-12
85,Hikari no naka,YONA YONA WEEKENDERS,YONA YONA WEEKENDERS,Oriental New Waves,2022-03-12
86,Organic Melodies feat. Takuya Maeda,Puzzleman,Organic Melodies,Oriental New Waves,2022-03-12
87,Coffee Excess feat. Orono,mabanua,Coffee Excess,Oriental New Waves,2022-03-12
88,I'm in a Groovie,MONJOE,I'm in a Groovie,Oriental New Waves,2022-03-12
89,Taipei NewYork,Ma Nien-Hsien,Mama jeans and Daddy shoes,Oriental New Waves,2022-03-12
90,Anywhere,Verandah,Anywhere you like,Oriental New Waves,2022-03-12
91,Dancing with my phone,HYBS,Dancing with my phone,Oriental New Waves,2022-03-12
92,New Day,kiki vivi lily,New Day,Oriental New Waves,2022-03-12
93,Wonder Why,Edison Song,Outline vol.1,Oriental New Waves,2022-03-12
94,improvised ambient wall / dark ambient set,,,Against the Vile Grain,2022-03-11
95,Answer the Chicken,Keelhaul,Subject To Change Without Notice,Hellhole,2022-03-11
96,My Broken Heart Will Never Mend,Harvey Milk,Courtesy and Good Will Toward Men,Hellhole,2022-03-11
97,Abandonment of Chastity,Abhorer,Upheaval of Blasphemy,Hellhole,2022-03-11
98,Heathendom Incarnate,Abhorer,Upheaval of Blasphemy,Hellhole,2022-03-11
99,Œnemic Subjugation,Chasm of Nis,Redolent of Spheres,Hellhole,2022-03-11
100,Manifestus (Movements III & IV : Oniric Deambulations Through The Path Of The Dead - Rebirth Through Immersion In The Eternal Fanged Cascade),Offenbarung,Manifestus,Hellhole,2022-03-11
101,Effluvium,Genital Retroplasia,Mechanism of Vomit,Hellhole,2022-03-11
102,Born To Lose,Tunkio,Unisolmuirvistys,Hellhole,2022-03-11
103,Labor Union Supremacy,Tunkio,Unisolmuirvistys,Hellhole,2022-03-11
104,The First Beast,Duress,The First Beast,Hellhole,2022-03-11
105,REASON IV,Misanthropæ,Untitled,Hellhole,2022-03-11
106,Spasmodic Recesses in the Guts of Time,Homeskin,Life’s Grips to Laughter,Hellhole,2022-03-11
107,Tsjakka,Snoezepoes,Who will be King & Queen of the Outcasted Teens? Vol. 1,The New Afternoon Show,2022-03-11
108,"Bro, Buddy, Pal",W.Z./Kole Galbraith,This/That Split,The New Afternoon Show,2022-03-11
109,Tornado,Radio Ray,Neverland,The New Afternoon Show,2022-03-11
110,Gone,Winning Looks,Winning Looks,The New Afternoon Show,2022-03-11
111,Immondice,Bombardement,Le Futur Est Là,The New Afternoon Show,2022-03-11
112,Vega-Tables,Sink,Vega-Tables,The New Afternoon Show,2022-03-11
113,Erizos,Narval Orquesta,Erizos,The New Afternoon Show,2022-03-11
114,A la mierda la superyuta.,Päriä,Odioso D-Beat,The New Afternoon Show,2022-03-11
115,Robot,Sonic Delays,Zoomer EP,The New Afternoon Show,2022-03-11
116,Home Again,Sansha,Big Time EP,The New Afternoon Show,2022-03-11
117,Over Asking,HORSEFIGHT,II,The New Afternoon Show,2022-03-11
118,We Didn't Fit Together At All,Figure Beach,No Drama,The New Afternoon Show,2022-03-11
119,Octubre,yung pope,Re-,The New Afternoon Show,2022-03-11
120,Destinos,DAMASCO,Hamartia,The New Afternoon Show,2022-03-11
121,Narashite,Haru Namuri,Haru to Shura,The New Afternoon Show,2022-03-11
122,"Radio, Radio",Dynamite Platoon,"Radio, Radio",The New Afternoon Show,2022-03-11
123,Lagoon,Horsey,Debonair,The New Afternoon Show,2022-03-11
124,Erreure Boréale,Au revoir Bruno,Erreure Boréale,The New Afternoon Show,2022-03-11
125,Unbred,Unsustainable,Unfathomed,The New Afternoon Show,2022-03-11
126,Billy,Horsegirl,Versions of Modern Performance,The New Afternoon Show,2022-03-11
127,Riot,Haru Namuri,Lovetheism,The New Afternoon Show,2022-03-11
128,No Cure For Loneliness,The Venture Lift Project,Arcadian Night,The New Afternoon Show,2022-03-11
129,Mind Is For Real,Tuval,Core,The New Afternoon Show,2022-03-11
130,Slip Up,Soft Shock,Slip n' Slide Demos,The New Afternoon Show,2022-03-11
131,The Social Six,Moving Injured Part,Making Shoes for Children,The New Afternoon Show,2022-03-11
132,Tenterhooks,Plastic Mirror,Plastic Mirror,The New Afternoon Show,2022-03-11
133,coffee,corn wave,philosophy of structures,The New Afternoon Show,2022-03-11
134,Red Meat for the Faithful,WOORMS,Fatalismo,The New Afternoon Show,2022-03-11
135,Merciless,RNGSilvercraft,Taken Without Context,The New Afternoon Show,2022-03-11
136,Beginning of the End,ONDRAY ZINTAER,Last days on Earth,The New Afternoon Show,2022-03-11
137,In Space I Will Hear You,Sara Milazzo,Multicore,The New Afternoon Show,2022-03-11
138,Doubting,Hoofless,Ad Nauseam,The New Afternoon Show,2022-03-11
139,CONVEYED VISIONS,INCIPIENTIUM,STUDY IN STILL LIFE,The New Afternoon Show,2022-03-11
