,artist,plays
0,Pixies,4
1,Peach Pit,4
2,Belle and Sebastian,4
3,Alex G,4
4,caroline,3
5,Wyatt Smith,3
6,Superchunk,3
7,Porridge Radio,3
8,Oneohtrix Point Never,3
9,Nilüfer Yanya,3
10,Kurt Vile,3
11,Helvetia,3
12,Hello Mary,3
13,Gang of Youths,3
14,Duster,3
15,Dashboard Confessional,3
16,Big Thief,3
17,waveform*,2
18,trndytrndy,2
19,iris,2
20,Yoko Ono,2
21,Wolf Alice,2
22,Whirr,2
23,Ween,2
24,Wednesday,2
25,Water From Your Eyes,2
26,The White Stripes,2
27,The Weather Station,2
28,The Velvet Underground,2
29,The Shacks,2
30,The Elms,2
31,The Cleaners From Venus,2
32,The Black Keys,2
33,Tanya Stephens,2
34,Sonic Youth,2
35,Sister Nancy,2
36,Sigrid,2
37,Rita Marley,2
38,Red House Painters,2
39,Pinegrove,2
40,PUP,2
41,No Trend,2
42,Nilufer Yanya,2
43,Moses Campbell,2
44,Mitski,2
45,Marcia Aitken,2
46,Makthaverskan,2
47,LÉON,2
48,Luna Li,2
49,Low,2
50,Louke Man,2
51,Lo Moon,2
52,Lisa Germano,2
53,Lil Durk,2
54,Letting Up Despite Great Faults,2
55,Lady G,2
56,Lady Ann,2
57,Kristine Leschper,2
58,Ko & The Knockouts,2
59,Kate Bollinger,2
60,Janet Jackson,2
61,Jack White,2
62,J.ROBB,2
63,Isaiah Rashad,2
64,Hovvdy,2
65,Horsegirl,2
66,Horse Jumper of Love,2
67,Hollow Bastion,2
68,Helena Deland,2
69,Harley Poe,2
70,Guided by Voices,2
71,Gil Scott-Heron,2
72,Florist,2
73,Florence + The Machine,2
74,Erika de Casier,2
75,Eades,2
76,Deserta,2
77,Death Valley Girls,2
78,Dear Nora,2
79,Cynthia Richards,2
80,Cyberbully Mom Club,2
81,Codeine,2
82,Cat Power,2
83,Caroline Loveglow,2
84,CQ,2
85,CMAT,2
86,Brendan Benson,2
87,Blushing,2
88,Big Scarr,2
89,Band of Horses,2
90,Bambara,2
91,BAMBARA,2
92,Arca,2
93,Alabaster DePlume,2
