,title,artist,plays
0,Toontown,MJ Lenderman,2
1,Unholy Affliction,Soccer Mommy,2
2,*b_W (AmbACiD Version),Spencer & Saginaw,1
3,125 West 3rd Street,Menswear,1
4,4times,Wyatt Smith,1
5,"A Love Supreme, Pt. 1 - Acknowledgement",John Coltrane,1
6,"A Love Supreme, Pt. 2 - Resolution",John Coltrane,1
7,"A Love Supreme, Pt. 3 - Pursuance",John Coltrane,1
8,"A Love Supreme, Pt. 4 - Psalm",John Coltrane,1
9,A. Simpatico B. Misterioso,"Howard Shore, Ornette Coleman",1
10,AS Wood Gas,Amnesia Scanner,1
11,ATLien Invader,DJ 999,1
12,ATTRACTION ARIA,DJ 999,1
13,About Us,dba James,1
14,Acadian Driftwood,The Band,1
15,Acid Dent,Psychedelic Porn Crumpets,1
16,Across the Room,Ok Cowgirl,1
17,Affiliated (feat. Lil Durk),Future,1
18,"Al Verlo Todo, Nada Veia",Saton,1
19,Albatros,Asamblea Internacional Del Fuego,1
20,Alice in Vain,Sleeper,1
21,All You Know,"Dandelion, Matty, Kaan",1
22,All-American Girl,Carrie Underwood,1
23,Already There,The Sight Below,1
24,Alright,Suggs,1
25,Alta Mar,Anhedonia,1
26,Altar of Tammy,Mary Lattimore / Paul Sukeena,1
27,America,Kenny Knight,1
28,Amie,Pure Prairie League,1
29,Amsterdam,Watchhouse,1
30,Animal Friends,Alex G,1
31,Another Day,Zillion,1
32,Another Game,Grapefruit,1
33,Arder,Arder,1
34,Are You In the Mood?,Bay Faction,1
35,Ash Tray Blues,Papa Charlie Jackson,1
36,Ashtray,Narrow Head,1
37,Astigmatic,Krzysztof Komeda,1
38,At The Chime Of A City Clock,Nick Drake,1
39,Auroren,Sana Shenai / Dntel / Mitchell Brown,1
40,Background Noise (Don't Become),Solvent,1
41,Bad Love,Luther Allison,1
42,Bad Luck Dice,Clifford Gibson,1
43,Ballad / Joan,"Howard Shore, Ornette Coleman",1
44,Be Your Own 3am,Adult Mom,1
45,Big Ship,Freddie McGregor,1
46,Billy,Horsegirl,1
47,Birthday Cake,Rihanna,1
48,Blow-Up (Main Title),Herbie Hancock,1
49,Blue Jeans,Blur,1
50,Blue Sky,Allman Brother Band,1
51,Blueberries for Breakfast,The Mamas & The Papas,1
52,Bolted Orange,Fuubutsushi,1
53,Bottom Blues,Texas Alexander,1
54,Bottom of the Ocean,Briston Maroney,1
55,Boulder to Birmingham,Emmylou Harris,1
56,Boundary,Hotline TNT,1
57,Brain,The Action,1
58,Braty Puti,"Tomasa del Real, Eli Fantasy, DJ Blass, Mista Greenz, El Licenciado",1
59,Bring Down the Birds - Outtake,Herbie Hancock,1
60,Bugpowder (Take 9),"Howard Shore, Ornette Coleman",1
61,Bullet Lovers,The Jesus and Mary Chain,1
62,Butylka vodki,Zvyki Mu,1
63,Buzzin' Fly,Tim Buckley,1
64,By His Deeds,VC,1
65,By Your Side (Neptunes Remix),"Sade, The Neptunes",1
66,Bye-Bye Blues,Tommy Johnson,1
67,CC,"Sega Bodega, Shygirl",1
68,CRYSTAL CHANDELIER (feat. Maizie Li),DJ 999,1
69,CRYSTAL TRANCE,DJ 999,1
70,Cae La Noche,"Luny Tunes, Noriega, Hector & Tito",1
71,Café Regio's - Remastered,Isaac Hayes,1
72,California,Joni Mitchell,1
73,"Can You Feel The Force Orchestra Sofia If You Want To Boogie, Forget It Balkanton 1980",Orchestra Sofia,1
74,Can't Do Much,Waxahatchee,1
75,Can't Get Enough,"Dirty Bird, JOON",1
76,Champagne Supernova,OneRepublic,1
77,Checking On My Woman,Fenton Robinson,1
78,Chewing Gum,vern matz,1
79,Christopher Willits,Taylor Deupree / Christopher Willits,1
80,Chunky,"Soulecta, Gemi",1
81,Circle,Miles Davis,1
82,Claro Que Si,La Goony Chonga,1
83,Claudi,Laurence Guy,1
84,Come Around,The Action,1
85,Come Fe Mash It,Tony Tuff,1
86,Come Undone,Phantom Handshake,1
87,Constelar,Arboles En Llamas,1
88,Cool Today--Mixed,Prescribe da Vibe,1
89,Cool in Motion,Narrow Head,1
90,Cops and Robbers,Bo Diddley,1
91,"Corrina, Corrina",Bob Dylan,1
92,Cosmic Empire,George Harrison,1
93,Crestfallen,S. Carey,1
94,Crosswalk,Totally Enormous Extinct Dinosaurs,1
95,Cycle Disparaissant,Benoît Pioulard,1
96,D Way You Do Me (Prod. Plata),Bad Gyal,1
97,Dance of the Dream Man - Instrumental,Angelo Badalamenti,1
98,Dancing Lasha Tumbai,Verka Serduchka,1
99,Dark Side of the Wheel,"Wilcox, Sullivan & Wilcox",1
