,album,artist,plays
0,WE,Arcade Fire,12
1,Boat Songs,MJ Lenderman,8
2,Pottymouth,Bratmobile,7
3,Bryter Layter,Nick Drake,5
4,"Ladies, Women, and Girls",Bratmobile,5
5,When You Find Out,Hotline TNT,5
6,Yesterday's Sunshine,Grapefruit,5
7,A Love Supreme,John Coltrane,4
8,Anatomy of a Murder,Duke Ellington,4
9,In Spring,Tara Clerkin Trio,4
10,Naked Lunch (The Complete Original Soundtrack Remastered) [Collector's Edition Vol. 6],"Howard Shore, Ornette Coleman",4
11,The Pawnbroker,Quincy Jones,4
12,Too Much Noise,We The People,4
13,We've Been Going About This All Wrong,Sharon Van Etten,4
14,"A Quiet Farwell, 2016-2018 (Crater Speak)",Slauson Malone,3
15,Alpha Games,Bloc Party,3
16,Blow-Up (Original Motion Picture Soundtrack),Herbie Hancock,3
17,Buffalo Springfield,Buffalo Springfield,3
18,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,3
19,Change The World,Delroy Edwards,3
20,"Check ""Yes"" to Connect",dba James,3
21,Delaware,Drop Nineteens,3
22,Everything Was Beautiful,Spiritualized,3
23,Miracle,Jurassic Shark,3
24,On,Demolition Doll Rods,3
25,"Operating Theatre the Early Years, Vol. 2",Roger Doyle,3
26,Rolled Gold,The Action,3
27,Shaft (Deluxe Edition),Isaac Hayes,3
28,Soundtrack From Twin Peaks,Angelo Badalamenti,3
29,Taxi Driver,Bernard Herrmann,3
30,Two Ribbons,Let's Eat Grandma,3
31,Whatever,Hot Chelle Rae,3
32,2017-2019,Against All Logic,2
33,A Bit of Previous,Belle and Sebastian,2
34,A Seat at the Table,Solange,2
35,At The Club,Kenickie,2
36,Blonde Otter,Blonde Otter,2
37,Buffalo Springfield Again,Buffalo Springfield,2
38,CAPRISONGS,FKA twigs,2
39,Delirio,Quiet Fear,2
40,Destiny XL,They Are Gutting a Body of Water,2
41,Dischord No. 101,Bluetip,2
42,Either/Or,Elliott Smith,2
43,Elliott Smith,Elliott Smith,2
44,Empty in My Mind,Dehd,2
45,End Of Last Year,Porridge Radio,2
46,Falling Apart (Right Now),Wilco,2
47,Foxbase Alpha,Saint Etienne,2
48,Girls,The Magic Magicians,2
49,Giving The World Away,Hatchie,2
50,Headphones,Headphones,2
51,High School Musical 2 (Original Soundtrack),"Matthew Gerrard, Robert Nevil, Cast",2
52,Hums of The Lovin Spoonful,The Loving Spoonful,2
53,I'm Into Something Good,Herman's Hermits,2
54,In the Heights (Original Broadway Cast Recording),"Lin-Manuel Miranda, Eliseo Roman",2
55,Ini Kamoze,Ini Kamoze,2
56,Introducing The Beau Brummels,The Beau Brummels,2
57,Invitation,AILEE,2
58,"Joe Pullum Vol. 2 (1935-1951) with Andy Boy & Walter ""Cowboy"" Washington",Joe Pullum,2
59,KIWANUKA,Michael Kiwanuka,2
60,Keep Holding On,The Action,2
61,Ko and The Knockouts,Ko & The Knockouts,2
62,La Vache Qui Rit,Rain,2
63,Leaves Turn Inside You,Unwound,2
64,Let Me Do One More,illuminati hotties,2
65,Live at the Gold Dollar,Two Star Tabernacle,2
66,Mic City Sons,Heatmiser,2
67,Miss Alex White and The Red Orchestra,Miss Alex White and The Red Orchestra,2
68,Misshapen World,Sinking,2
69,Moby Grape '69,Moby Grape,2
70,Momentary Lapse of Happily,Adult Mom,2
71,Music Has The Right To Children,Boards of Canada,2
72,Nameless Harm,Slow Fiction,2
73,Omnium Gatherum,King Gizzard & The Lizard Wizard,2
74,Private Life: The Compass Point Sessions,Grace Jones,2
75,Racing Lagoon OST,"Noriko Matsueda, Takahito Eguchi",2
76,Radiator,Sadurn,2
77,"Reading, Writing & Arithmetic",The Sundays,2
78,Repeater,Fugazi,2
79,Ribbon Around The Bomb,Blossoms,2
80,Saint Dymphna,Gang Gang Dance,2
81,Satisfaction,Narrow Head,2
82,See you Soon,beabadoobee,2
83,She's a Witch (Tikoloshi),The Bees,2
84,Six,Mansun,2
85,So Long Forever,Palace,2
86,Sonic R Original Soundtrack,SEGA,2
87,Spanish Dance Troupe,Gorky's Zygotic Mynci,2
88,Spiders,Space,2
89,Standing on the Corner,Standing on the Corner,2
90,Stone Island,Dean Blunt,2
91,Sunflower: Deluxe,Briston Maroney,2
92,Take It Back,Gray Matter,2
93,Take Off,Thee Shams,2
94,The Bends,Radiohead,2
95,The Frights,The Frights,2
96,The Jacket,Widowspeak,2
97,The Live Series: Songs of Location,Bruce Springsteen,2
98,The Moan,The Black Keys,2
99,The OOZ,King Krule,2
