,title,artist,albums,showname,date
0,Greta Van Fleet,Blaketheman1000,Greta Van Fleet,L Train,2022-05-19
1,Babyyy,Grace Ives,Really Hot,L Train,2022-05-19
2,Carl's First Halloween,Earth Dad,Carl's First Halloween,L Train,2022-05-19
3,Lomita,Dig Nitty,Reverse of Mastery,L Train,2022-05-19
4,Tell Me / Why'd You,"Eliza Moon, Heading",Sweet Un,L Train,2022-05-19
5,Chorus Girl,Raavi,Chorus Girl,L Train,2022-05-19
6,Alligator Talk,youbet,Compare & Despair,L Train,2022-05-19
7,Never Be Wrong,Closeby,Never Be Wrong,L Train,2022-05-19
8,Rover,"Cleo Reed, Heading",Rover,L Train,2022-05-19
9,Whistles,Isa Reyes,Whistles,L Train,2022-05-19
10,Mon Cheri,Belle-Skinner,Violets,L Train,2022-05-19
11,Outside,wakelee,Outside,L Train,2022-05-19
12,Redbull & Henny,Matt Blak,Redbull & Henny,L Train,2022-05-19
13,Rot,Allegra Krieger,The Joys of Forgetting,L Train,2022-05-19
14,Smaller,"Modern Diet, Margaux",Smaller,L Train,2022-05-19
15,Hexagons and Other Fun Materials,Sidney Gish,Ed Buys Houses,L Train,2022-05-19
16,Quit Your Job,Hot Tea,Quit Your Job,L Train,2022-05-19
17,Creases,Work Wife,Creases,L Train,2022-05-19
18,Cities,Public Practice,Gentle Grip,L Train,2022-05-19
19,Govt Cheese,Bethlehem Steel,Bethlehem Steel,L Train,2022-05-19
20,That Girl,My Stupid Brother,Welcome to My Head,L Train,2022-05-19
21,Don't Be Sad,Dolly Spartans,Dolly Spartans,L Train,2022-05-19
22,The Feeling,Sammy Rae & The Friends,The Good Life,L Train,2022-05-19
23,Roller Skates,Nick Hakim,Green Twins,L Train,2022-05-19
24,Karate,Roofers Union,The Mantle,L Train,2022-05-19
25,Lay Out in the Sun,Fair Visions,Lay Out in the Sun,L Train,2022-05-19
26,Nameless Harm - Edit,Slow Fiction,Nameless Harm,L Train,2022-05-19
27,Sound and Light,Parrot Dream,Set Sail Someday,L Train,2022-05-19
28,Trustfund Overalls,Henry Black,Trustfund Overalls,L Train,2022-05-19
29,Berkshires,Gooseberry,Berkshires,L Train,2022-05-19
30,Chain,Colder,Colder,Fadrizzle,2022-05-19
31,Christmas in August,Boreen,Lovely,Fadrizzle,2022-05-19
32,Giving Up,Booren,Book of the Hours,Fadrizzle,2022-05-19
33,Dog,Floating Room,False Baptism,Fadrizzle,2022-05-19
34,Firetruck,Floating Room,FireTruck,Fadrizzle,2022-05-19
35,Lena,Babehoven,Solemnis,Fadrizzle,2022-05-19
36,Fugazi,Babehoven,Fugazi,Fadrizzle,2022-05-19
37,Great at Parties,Cool American,Infinite Hiatus,Fadrizzle,2022-05-19
38,Hometown Hero,Andy Shauf,The Bearer of Bad News,Fadrizzle,2022-05-19
39,The Magician,Andy Shauf,The Party,Fadrizzle,2022-05-19
40,In Love with Everyone,Mo Troper,Natural Beauty,Fadrizzle,2022-05-19
41,Boca Llena,Y la Bamba,Mujeres,Fadrizzle,2022-05-19
42,Sunday Soda,French Cassettes,Roladex,Fadrizzle,2022-05-19
43,Not Too Amused,Sebadoh,Bakesale,Fadrizzle,2022-05-19
